Datum;Anfang;Ende;key
15.12.2022;22:45;23:00;188
15.12.2022;23:00;23:15;189
15.12.2022;23:15;23:30;190
15.12.2022;23:30;23:45;191
15.12.2022;23:45;00:00;192
16.12.2022;00:00;00:15;193
16.12.2022;00:15;00:30;194
16.12.2022;00:30;00:45;195
16.12.2022;00:45;01:00;196
16.12.2022;01:00;01:15;197
16.12.2022;01:15;01:30;198
16.12.2022;01:30;01:45;199
16.12.2022;01:45;02:00;200
16.12.2022;02:00;02:15;201
16.12.2022;02:15;02:30;202
16.12.2022;02:30;02:45;203
16.12.2022;02:45;03:00;204
16.12.2022;03:00;03:15;205
16.12.2022;03:15;03:30;206
16.12.2022;03:30;03:45;207
16.12.2022;03:45;04:00;208
16.12.2022;04:00;04:15;209
16.12.2022;04:15;04:30;210
16.12.2022;04:30;04:45;211
16.12.2022;04:45;05:00;212
16.12.2022;05:00;05:15;213
16.12.2022;05:15;05:30;214
16.12.2022;05:30;05:45;215
16.12.2022;05:45;06:00;216
16.12.2022;06:00;06:15;217
16.12.2022;06:15;06:30;218
16.12.2022;06:30;06:45;219
16.12.2022;06:45;07:00;220
16.12.2022;07:00;07:15;221
16.12.2022;07:15;07:30;222
16.12.2022;07:30;07:45;223
16.12.2022;07:45;08:00;224
16.12.2022;08:00;08:15;225
16.12.2022;08:15;08:30;226
16.12.2022;08:30;08:45;227
16.12.2022;08:45;09:00;228
16.12.2022;09:00;09:15;229
16.12.2022;09:15;09:30;230
16.12.2022;09:30;09:45;231
16.12.2022;09:45;10:00;232
16.12.2022;10:00;10:15;233
16.12.2022;10:15;10:30;234
16.12.2022;10:30;10:45;235
16.12.2022;10:45;11:00;236
16.12.2022;11:00;11:15;237
16.12.2022;11:15;11:30;238
16.12.2022;11:30;11:45;239
16.12.2022;11:45;12:00;240
16.12.2022;12:00;12:15;241
16.12.2022;12:15;12:30;242
16.12.2022;12:30;12:45;243
16.12.2022;12:45;13:00;244
16.12.2022;13:00;13:15;245
16.12.2022;13:15;13:30;246
16.12.2022;13:30;13:45;247
16.12.2022;13:45;14:00;248
16.12.2022;14:00;14:15;249
16.12.2022;14:15;14:30;250
16.12.2022;14:30;14:45;251
16.12.2022;14:45;15:00;252
16.12.2022;15:00;15:15;253
16.12.2022;15:15;15:30;254
16.12.2022;15:30;15:45;255
16.12.2022;15:45;16:00;256
16.12.2022;16:00;16:15;257
16.12.2022;16:15;16:30;258
16.12.2022;16:30;16:45;259
16.12.2022;16:45;17:00;260
16.12.2022;17:00;17:15;261
16.12.2022;17:15;17:30;262
16.12.2022;17:30;17:45;263
16.12.2022;17:45;18:00;264
16.12.2022;18:00;18:15;265
16.12.2022;18:15;18:30;266
16.12.2022;18:30;18:45;267
16.12.2022;18:45;19:00;268
16.12.2022;19:00;19:15;269
16.12.2022;19:15;19:30;270
16.12.2022;19:30;19:45;271
16.12.2022;19:45;20:00;272
16.12.2022;20:00;20:15;273
16.12.2022;20:15;20:30;274
16.12.2022;20:30;20:45;275
16.12.2022;20:45;21:00;276
16.12.2022;21:00;21:15;277
16.12.2022;21:15;21:30;278
